Nimi	DJ	EX	Kokku	PR	Syva	Üldine	XP	dj01	dj02	ettepanekud	ex01	ex02	ex03	ex04	ex05	ex06	ex07	ex08	ex09	ex11	ex12	ex13	ex14	ex15	food	general	git	kaugōpe	konsult	meme	mitteniiolulisedagasiiskiolulised-teadaanded	olulised-teadaanded	pr01	pr02	pr03	pr04	pr06	pr07	pr08	pr09	pr11	pr12	pr13	pr14	pr15	random	stat	syvapy-general	videod	wat	xp01	xp02	xp03	xp04	xp05	xp06	xp07	Kokku
taavet	0	203,0	300,926	209,0	398,714	360,75	398,714	0	0	0	0	0	234,5	76,0	0	273,75	0	0	0	106,0	142,0	0	0	0	0	0	0	360,75	0	0	0	0	0	0	0	209,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	437,167	168,0	0	0	0	0	308,705
kristinamerlyn	0	0	106,88	39,0	0	111,213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174,571	0	102,692	0	0,0	0	0	0	0	39,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106,88
nooblander	0	0	79,821	0	0	79,821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79,821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79,821
Angoora Janguuru	0	0	212,0	0	0	212,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106,0	318,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212,0
jevg	0	0	128,0	0	0	128,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144,0	0	112,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128,0
raimpz	0	159,25	129,714	0	0	90,333	0	0	0	0	0	0	159,25	0	0	0	0	0	0	0	0	0	0	0	0	75,0	0	98,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129,714
Ahti	0	0	4,0	0	0	4,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4,0
emmakuppart	0	85,143	70,467	48,0	0	59,0	0	0	0	0	0	0	0	85,5	0	0	0	85,0	0	0	0	0	0	0	0	0	0	59,0	0	0	0	0	48,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70,467
Villu	0	43,0	72,167	76,167	0	73,2	0	0	0	0	43,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43,0	167,0	52,0	0	0	0	0	0	76,167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72,167
Gert_Lohmus	64,143	75,494	78,967	64,333	87,171	132,25	92,929	64,143	0	0	0	0	348,0	0	0	84,737	65,167	64,5	0	59,7	55,6	95,625	88,667	0	0	25,0	0	147,571	0	0	0	0	0	0	0	60,25	65,818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113,667	0	70,412	76,333	303,0	79,552
marmaa	0	159,625	134,0	93,75	0	90,0	0	0	0	0	0	0	221,667	122,4	0	0	0	0	0	0	0	0	0	0	0	0	0	90,0	0	0	0	0	0	137,5	0	50,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134,0
Sveta	0	0	119,812	0	0	119,812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119,812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119,812
KPohl	0	0	65,188	89,75	0	50,45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123,0	64,5	44,529	0	0	0	0	87,636	113,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65,188
d0nsm	0	58,15	73,786	123,857	0	36,0	0	0	0	0	0	0	73,5	92,5	108,5	43,857	0	0	0	0	0	0	0	0	0	0	0	36,0	0	0	0	0	129,4	22,0	0	0	0	0	0	0	0	198,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73,786
SportAnLife	0	0	66,5	0	0	66,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66,5
Taavi Paal	0	71,167	81,929	0	0	146,5	0	0	0	0	0	0	0	0	0	71,167	0	0	0	0	0	0	0	0	0	153,0	0	140,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81,929
Kirill	0	30,444	26,583	0	0	15,0	0	0	0	0	0	0	30,444	0	0	0	0	0	0	0	0	0	0	0	0	19,0	0	13,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26,583
Vlarali	0	0	32,0	0	0	32,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32,0
Raul	0	26,406	26,881	31,286	0	21,667	0	0	0	0	0	0	0	16,235	0	37,933	0	0	0	0	0	0	0	0	0	27,5	0	0	0	0	10,0	0	0	0	0	0	0	0	31,286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26,881
Mokkachino	0	19,333	29,865	62,0	0	21,192	0	0	0	0	0	0	0	0	0	0	0	19,333	0	0	0	0	0	0	0	22,2	19,55	0	0	0	49,0	0	62,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29,865
voyager94	0	149,5	78,889	59,5	68,667	43,0	68,667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149,5	0	0	37,0	0	0	0	0	0	0	0	0	0	0	0	0	59,5	0	0	0	0	0	0	0	0	49,0	0	0	68,667	0	0	0	0	0	0	77,867
ilja	0	56,0	37,5	0	0	19,0	0	0	0	0	0	0	0	0	0	0	0	56,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19,0	0	0	0	0	0	0	0	0	0	37,5
Home Run	79,4	110,083	93,585	74,2	85,095	111,0	86,875	0	79,4	0	0	0	0	0	0	114,0	0	149,0	0	108,5	0	0	86,5	161,0	0	102,778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87,167	0	0	0	0	185,0	0	54,75	110,875	0	70,5	0	53,75	73,5	0	92,594
IamAVeryRandomUserNumber2	0	0	110,0	0	0	110,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110,0	0	0	0	0	0	0	0	0	0	110,0
Marek Lahk	0	33,0	77,0	0	0	91,667	0	0	0	0	33,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91,667	0	0	0	0	0	0	0	0	0	77,0
Timo Loomets	90,0	156,462	84,192	41,5	66,316	57,375	57,857	90,0	0	0	0	0	111,333	0	0	155,5	0	0	0	0	173,625	0	0	0	7,5	37,429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91,571	0	41,5	12,333	113,0	0	73,0	34,0	80,0	86,0	82,251
TSlex	0	42,115	42,253	40,5	53,0	33,5	53,0	0	0	0	0	0	47,8	0	60,75	30,467	38,0	0	0	0	0	0	39,333	64,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40,5	0	0	0	0	33,5	0	0	56,0	51,5	0	0	0	0	0	42,532
Jevgenia	0	82,793	90,167	67,294	79,447	129,358	79,447	0	0	174,25	81,333	0	0	0	124,0	55,95	87,625	135,0	0	94,05	53,25	105,417	92,5	111,0	0	133,714	0	0	178,0	0	0	0	75,0	65,0	0	0	40,867	0	94,0	0	104,0	0	0	0	85,333	0	0	90,8	0	0	82,762	75,353	0	0	0	0	0	89,642
TheCrimee	0	69,0	39,0	0	58,0	6,333	58,0	0	0	0	69,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6,333	0	0	58,0	0	0	0	0	0	0	40,652
hard1	0	81,5	74,857	0	0	35,0	0	0	0	0	0	0	0	0	0	0	0	0	0	58,25	128,0	0	0	0	0	0	35,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74,857
omarmahlapuu	0	0	4,0	0	0	4,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4,0
LiisiLota	0	37,463	39,305	62,0	0	57,333	0	0	0	0	28,636	39,333	0	16,25	0	37,48	0	181,0	0	0	0	0	0	74,667	0	0	57,333	0	0	0	0	0	0	0	0	0	62,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39,305
Neoduck	0	0	16,5	0	0	16,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16,5
Gremow	0	39,0	62,167	72,5	37,5	121,833	37,5	0	0	0	0	0	0	0	0	0	124,667	0	0	19,231	0	0	0	0	0	174,25	17,0	0	0	0	0	0	0	0	0	0	0	0	72,5	0	0	0	0	0	0	0	0	0	0	0	37,5	0	0	0	0	0	0	61,63
Karl_H	0	47,333	37,667	0	19,5	45,0	19,5	0	0	0	0	0	0	0	0	47,333	0	0	0	0	0	0	0	0	0	0	45,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19,5	0	0	0	0	0	0	35,85
Parvetaja	0	42,4	43,275	40,0	53,167	29,8	53,167	0	0	0	0	0	0	0	0	15,556	44,75	71,0	0	58,4	0	59,0	0	0	0	0	29,8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42,5	0	0	0	0	0	0	39,286	0	0	0	53,167	0	0	0	43,994
fredpaist	0	58,0	35,75	36,0	21,0	9,5	21,0	0	0	0	0	0	0	0	0	58,0	0	0	0	0	0	0	0	0	0	0	19,0	0	0	0,0	0	0	0	0	0	0	67,0	0	5,0	0	0	0	0	0	0	0	0	0	0	0	0	21,0	0	0	0	0	0	35,16
Sufleks	0	0	39,0	0	0	39,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39,0
liliat	0	99,636	98,029	74,25	0	66,0	0	0	0	0	87,25	0	101,859	96,667	116,5	0	0	0	0	0	0	0	0	0	0	61,0	71,0	0	0	0	0	0	65,333	101,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98,029
Kiwitimot	0	135,0	56,091	66,0	136,5	12,833	136,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135,0	0	0	0	12,833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66,0	0	0	0	0	0	0	0	0	0	136,5	0	0	0	0	0	60,686
svenanton	0	115,475	128,782	0	185,1	122,6	185,1	0	0	0	0	0	0	118,0	0	116,111	136,4	0	64,4	0	0	0	0	0	0	0	122,6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185,1	0	0	0	0	0	0	132,0
Tark hiina vanamees	0	66,3	71,667	0	84,2	0,0	84,2	0	0	0	0	0	0	102,25	0	42,333	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88,5	77,75	0	0	73,384
synsustainiac	0	53,0	26,5	0	0	0,0	0	0	0	0	0	0	0	0	0	0	53,0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26,5
Break_The_Silence	0	0	0,0	0	0	0,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0
CodingBad	0	24,375	21,667	0	0	0,0	0	0	0	0	0	0	0	0	0	0	0	0	0	18,2	34,667	0	0	0	0	0	0	0	0	0,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21,667
SASKE	0	55,25	48,04	48,0	0	0,0	0	0	0	0	0	0	0	0	38,333	0	0	111,0	0	39,25	47,833	0	53,25	0	0	0	0	0	0	0,0	0	0	0	0	0	0	0	0	0	0	0	0	48,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48,04
gautam	0	86,9	82,286	85,333	0	27,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86,9	0	0	0	0	0	0	0	27,0	0	0	0	0	0	0	0	0	0	85,333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82,286
raunc	0	51,826	53,925	66,125	46,75	62,0	46,75	0	0	0	0	0	0	0	0	0	0	57,583	0	45,545	0	0	0	0	0	0	0	0	62,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57,0	0	0	0	0	93,5	0	0	46,75	0	0	0	0	53,477
Preheat to 375°	0	0	38,5	0	0	38,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38,5
Nemens1s	0	60,0	59,636	91,0	0	40,6	0	0	0	0	0	104,0	64,0	0	12,0	0	0	0	0	0	0	0	0	0	30,25	82,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119,0	0	35,0	0	0	0	0	0	0	0	0	0	0	0	0	59,636
heidi	0	0	88,692	0	88,692	0	88,692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66,0	37,0	128,857	0	0	0	0	88,692
aveka	0	79,0	59,769	53,0	0	49,8	0	0	0	0	0	0	79,0	0	0	0	0	0	0	0	0	0	0	0	0	49,8	0	0	0	0	0	0	53,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59,769
tsarapuu	0	25,0	14,5	0	0	11,875	0	0	0	0	0	0	0	0	25,0	0	0	0	0	0	0	0	0	0	0	11,875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14,5
savyla	0	0	34,25	40,0	0	32,333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32,333	0	0	0	0	0	0	0	0	0	0	0	0	40,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34,25
Misha	0	15,0	16,615	0	27,5	13,667	27,5	0	0	0	0	0	0	0	0	15,0	0	0	0	0	0	0	0	0	0	13,667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27,5	0	0	0	0	17,146
Katarina	0	40,083	39,0	0	0	26,0	0	0	0	0	0	0	36,222	0	0	0	0	0	0	0	51,667	0	0	0	0	26,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39,0
Alexandra	0	0	81,0	0	0	81,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81,0
Sukram	0	66,4	62,0	0	0	51,0	0	0	0	0	0	95,0	0	0	0	0	47,333	0	0	0	0	0	0	0	0	51,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62,0
AnnaS	0	104,427	103,6	0	0	30,0	0	0	0	0	95,75	238,5	0	0	61,125	0	195,143	210,0	146,0	0	154,545	66,45	122,786	0	0	30,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103,6
Sirual	0	81,462	80,7	0	0	51,0	0	0	0	0	0	0	0	0	0	0	83,667	0	93,8	0	101,0	61,25	92,842	34,0	0	51,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80,7
Ove	0	64,0	52,5	0	0	41,0	0	0	0	0	0	0	0	64,0	0	0	0	0	0	0	0	0	0	0	0	41,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52,5
alsoik	0	0	33,0	0	0	33,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33,0
emotüdruk	0	49,0	51,062	55,8	0	48,75	0	0	0	0	0	0	0	0	0	81,333	0	0	0	0	24,75	0	0	0	0	48,75	0	0	0	0	0	0	0	0	0	0	55,8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51,062
Boriss	0	52,96	52,385	52,286	0	31,5	0	0	0	0	74,0	0	0	0	0	0	53,357	34,667	0	40,6	69,625	62,0	51,5	0	0	31,5	0	0	0	0	0	0	60,0	0	0	0	55,5	0	0	51,0	42,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52,385
napoleon	0	0	28,667	0	0	28,667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28,667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28,667
eikall	0	130,722	111,667	85,444	0	81,667	0	0	0	0	0	0	0	0	234,0	168,7	88,706	147,429	0	0	0	0	245,0	0	0	81,667	0	0	0	0	0	0	0	0	0	80,0	0	0	84,0	0	0	0	0	0	0	0	0	0	0	95,0	0	0	0	0	0	0	0	111,667
Tuuli	0	80,077	89,207	0	0	168,333	0	0	0	0	0	0	0	51,5	0	91,333	141,0	0	0	0	0	67,308	0	0	0	168,333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89,207
tahvel	0	0	20,0	0	0	20,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20,0
Annie	0	86,441	51,393	36,352	0	41,083	0	0	0	0	134,625	55,0	79,0	0	77,333	30,0	41,5	0	0	72,6	126,0	0	0	0	0	41,083	0	0	0	0	0	0	30,738	0	0	0	258,0	0	65,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51,393
Loogikaosakond	0	0	19,0	0	0	19,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19,0
TT	0	99,5	84,938	0	0	82,857	0	0	0	0	0	0	0	99,5	0	0	0	0	0	0	0	0	0	0	0	82,857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84,938
Karel	0	0	169,0	0	0	169,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169,0
anpopl	0	70,0	66,667	0	0	66,364	0	0	0	0	0	0	70,0	0	0	0	0	0	0	0	0	0	0	0	0	66,364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66,667
Svetlana	0	126,25	68,5	0	0	39,625	0	0	0	0	0	0	126,25	0	0	0	0	0	0	0	0	0	0	0	0	39,625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68,5
Lkesse	0	68,0	56,5	0	0	10,5	0	0	0	0	0	0	0	0	79,0	0	0	60,0	0	0	2,0	0	92,5	0	0	10,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56,5
Valeri K	0	108,5	146,667	0	0	223,0	0	0	0	0	0	108,5	0	0	0	0	0	0	0	0	0	0	0	0	0	223,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146,667
Slicey	0	43,438	39,353	0	0	35,722	0	0	0	0	0	41,75	0	0	0	0	0	0	0	0	0	0	0	45,125	0	35,722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39,353
kristjan741	0	0	154,0	0	0	154,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154,0
krpeda	0	0	64,0	0	0	64,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64,0
Jelena	0	45,429	48,3	62,0	0	41,0	0	0	0	0	26,0	0	53,2	0	0	0	0	0	0	0	0	0	0	0	0	41,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62,0	0	0	0	0	0	0	0	0	0	0	0	0	0	48,3
anneliis	0	48,75	55,6	0	0	83,0	0	0	0	0	0	14,0	0	0	0	0	0	0	0	0	0	0	0	60,333	0	83,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55,6
Jelena	0	0	83,0	0	0	83,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83,0
NA	0	0	186,5	0	0	186,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186,5
Denkru56	0	29,0	36,824	40,667	0	48,6	0	0	0	0	18,125	0	0	116,0	0	0	0	0	0	0	0	0	0	0	0	48,6	0	0	0	0	0	0	59,0	0	0	0	0	0	0	0	0	31,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36,824
Igor	0	52,729	51,828	53,333	52,857	32,0	52,857	0	0	0	0	0	0	106,667	0	64,875	0	16,0	0	0	42,25	0	50,5	41,889	0	32,0	0	0	0	0	0	0	0	0	0	0	76,0	0	0	0	42,0	0	0	0	0	0	0	0	0	0	0	16,667	80,0	0	0	0	0	51,864
Bigdwarf	0	0	31,5	0	0	31,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31,5
kazenokami	0	127,077	77,912	51,308	0	41,25	0	0	0	0	96,0	143,4	164,333	0	58,0	0	0	0	0	0	0	0	0	0	0	41,25	0	0	0	0	0	0	51,308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77,912
tank	0	0	64,0	0	0	64,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64,0
lepapuu	0	94,0	67,552	56,316	0	43,0	0	0	0	0	0	0	0	175,0	0	0	0	0	0	46,0	28,0	73,5	91,667	0	0	43,0	0	0	0	0	0	0	0	0	0	0	0	0	69,667	104,0	50,467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67,552
liinavil	0	0	102,0	80,0	0	190,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190,0	0	0	0	0	0	0	80,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102,0
kkirss	0	0	7,0	0	0	7,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7,0
Marcel	0	0	10,0	0	0	10,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10,0
napoleon	0	0	17,0	0	0	17,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17,0
Luisa	0	0	5,5	0	0	5,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,5
Brita	0	62,833	62,833	0	0	0	0	0	0	0	62,833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62,833
pesalu	0	79,333	79,333	0	0	0	0	0	0	0	79,333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79,333
Shmel	0	88,056	91,737	158,0	0	0	0	0	0	0	74,0	63,8	0	123,0	0	0	84,8	128,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91,737
feeldtzz	0	165,5	161,667	0	154,0	0	154,0	0	0	0	165,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154,0	0	0	0	0	0	0	160,9
