Nimi	DJ	EX	Kokku	PR	Syva	Üldine	XP	dj01	dj02	ettepanekud	ex01	ex02	ex03	ex04	ex05	ex06	ex07	ex08	ex09	ex11	ex12	ex13	ex14	ex15	food	general	git	kaugōpe	konsult	meme	mitteniiolulisedagasiiskiolulised-teadaanded	olulised-teadaanded	pr01	pr02	pr03	pr04	pr06	pr07	pr08	pr09	pr11	pr12	pr13	pr14	pr15	random	stat	syvapy-general	videod	wat	xp01	xp02	xp03	xp04	xp05	xp06	xp07	Kokku
Liis	0	70,824	67,155	105,75	84,571	36,308	84,571	0	0	0	0	0	0	0	0	82,857	22,0	66,0	0	71,333	0	83,2	43,667	79,25	0	38,5	0	0	0	0	0	0	108,0	0	0	0	0	0	0	0	0	0	0	103,5	0	32,8	0	0	0	0	0	0	87,833	0	65,0	0	0	67,829
Tärk	52,294	67,348	71,633	62,951	48,209	90,571	32,778	42,9	122,75	0	48,769	71,75	119,0	0	82,2	20,0	92,6	25,0	69,0	25,0	81,0	69,702	0,0	0	0,0	75,458	103,889	108,833	0	24,333	46,667	0	36,333	51,167	0	68,0	122,75	126,0	62,8	109,0	76,6	0	0	0	0	99,848	91,5	152,5	0	37,375	47,5	41,0	24,75	0	0	19,0	0	70,555
Tanel	0	57,916	55,364	47,323	0	54,57	0	0	0	0	46,25	0	63,714	0	51,545	0	59,0	0	51,0	79,75	60,727	0	0	0	0	51,741	0	0	27,0	45,0	49,0	0	0	28,833	0	0	75,5	0	0	0	0	47,238	0	0	0	59,483	59,6	0	0	0	0	0	0	0	0	0	0	55,364
Janar	0	36,897	37,137	32,571	0	38,864	0	0	0	0	38,28	45,333	0	0	0	0	0	0	0	0	47,143	0	34,379	0	82,167	30,745	59,0	15,0	0	0	0	0	32,571	0	0	0	0	0	0	0	0	32,571	0	0	0	35,062	58,0	0	0	0	0	0	0	0	0	0	0	37,137
SkullTiger	0	38,944	37,488	46,0	0	22,25	0	0	0	0	0	0	0	0	0	42,222	80,5	51,0	0	28,0	0	0	0	0	0	0	30,5	0	0	0,0	0	0	0	0	0	0	0	46,0	0	0	0	0	0	0	0	28,0	0	0	0	0	0	0	0	0	0	0	0	37,488
sqvat	0	55,375	65,0	41,0	0	127,5	0	0	0	0	0	0	0	0	0	0	0	0	40,667	0	0	0	64,2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41,0	0	0	0	0	0	0	127,5	0	0	0	0	0	0	0	0	0	0	0	65,0
rs	0	94,429	92,327	88,5	0,0	107,8	0,0	0	0	0	0	0	78,8	0	0	50,143	0	0	0	165,0	0	412,0	0	0	0	96,571	0	0	0	0	0	0	0	0	0	0	225,0	0	0	0	0	0	0	0	0	119,5	163,0	0	0	82,565	0	0	0	0,0	0	0	0	91,703
frang	0	21,0	21,726	1,0	0	21,79	0	0	0	0	0	0	0	0	0	0	21,0	0	0	0	0	0	0	0	27,958	14,0	4,667	0	0	17,538	10,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22,44	13,692	0	0	1,0	0	0	0	0	0	0	0	21,726
Piidur	0	0	12,252	0	0	12,252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9,158	43,0	1,0	0	10,0	5,886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15,986	12,625	0	0	0	0	0	0	0	0	0	0	12,252
Venres	0	0	25,4	0	0	25,4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25,4	0	0	0	0	0	0	0	0	0	0	0	25,4
StoneMalone	0	0	14,9	0	0	14,9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11,667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19,0	9,5	0	0	0	0	0	0	0	0	0	0	14,9
Karl-Joosep	0	49,462	57,592	97,75	100,0	11,0	100,0	0	0	0	0	0	0	86,667	0	35,625	0	0	0	25,5	58,625	52,0	49,429	51,667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45,667	0	129,0	0	0	11,0	0	0	0	0	100,0	0	0	0	0	0	0	57,878
SapnikZ	13,222	29,508	27,722	21,632	13,222	31,922	0	13,222	0	0	0	13,0	26,484	38,737	25,0	0	0	34,769	33,5	22,622	31,792	36,25	30,655	0	0	36,966	11,333	0	0	15,0	0	0	14,0	21,833	0	0	0	0	0	38,0	23,412	17,136	0	0	38,75	23,091	52,0	0	0	0	0	0	0	0	0	0	0	27,584
Anurist	0	71,07	59,712	72,909	0	42,019	0	0	0	0	0	145,0	0	116,0	0	81,5	0	89,857	37,0	51,4	82,889	0	112,167	0	64,667	49,857	25,133	0	36,5	0	0	0	0	0	0	0	111,222	0	0	0	0	14,0	71,667	0	79,0	51,583	47,0	0	0	30,857	0	0	0	0	0	0	0	59,712
