Nimi	dj01	dj02	ettepanekud	ex01	ex02	ex03	ex04	ex05	ex06	ex07	ex08	ex09	ex11	ex12	ex13	ex14	ex15	food	general	git	kaugōpe	konsult	meme	mitteniiolulisedagasiiskiolulised-teadaanded	olulised-teadaanded	pr01	pr02	pr03	pr04	pr06	pr07	pr08	pr09	pr11	pr12	pr13	pr14	pr15	random	stat	syvapy-general	videod	wat	xp01	xp02	xp03	xp04	xp05	xp06	xp07	Kokku
KO	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Frank	0	0	0	3	1	3	4	2	1	4	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	2	0	0	0	0	37
jevg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
KrisTi	0	0	0	10	0	12	28	2	0	0	0	0	0	0	0	0	0	0	2	0	14	0	0	0	0	2	18	0	4	14	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	109
eikall	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	4	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26
taavet	0	0	0	0	0	2	1	0	4	0	0	0	1	2	0	0	0	0	0	0	8	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	27
kristinamerlyn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	39	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50
nooblander	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28
raimpz	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
emmakuppart	0	0	0	0	0	0	2	0	0	0	5	0	0	0	0	0	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
